#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 235000      6.80e-01    8.10e-01      1.70e-02    5.43e-03      2.78e-02    3.35e-02    5.8e-04
 236000      1.60e+00    8.45e-01      6.27e-03    2.19e-03      6.65e-02    3.50e-02    5.8e-04
 237000      8.05e-01    5.19e-01      1.48e-02    1.73e-03      3.31e-02    2.15e-02    5.8e-04
 238000      1.15e+00    6.49e-01      1.60e-02    2.71e-02      4.74e-02    2.58e-02    5.8e-04
 239000      1.58e+00    6.47e-01      2.24e-02    8.43e-03      6.52e-02    2.67e-02    5.8e-04
 240000      5.53e-01    5.85e-01      2.98e-02    1.44e-02      2.14e-02    2.40e-02    5.8e-04
 241000      9.50e-01    6.06e-01      9.18e-03    7.98e-04      3.95e-02    2.53e-02    5.8e-04
 242000      4.57e-01    6.11e-01      5.63e-03    1.92e-03      1.90e-02    2.54e-02    5.8e-04
 243000      2.10e+00    9.40e-01      1.46e-02    1.40e-02      8.76e-02    3.89e-02    5.8e-04
 244000      7.39e-01    7.20e-01      2.32e-02    3.74e-03      3.01e-02    3.00e-02    5.8e-04
 245000      6.28e-01    9.47e-01      5.74e-03    1.38e-02      2.63e-02    3.95e-02    5.7e-04
 246000      1.17e+00    1.14e+00      1.68e-02    2.00e-02      4.89e-02    4.74e-02    5.7e-04
 247000      1.43e+00    6.41e-01      1.18e-03    1.68e-03      5.99e-02    2.68e-02    5.7e-04
 248000      6.32e-01    1.12e+00      2.17e-02    1.77e-02      2.57e-02    4.66e-02    5.7e-04
 249000      1.15e+00    7.23e-01      1.30e-02    7.07e-03      4.78e-02    3.02e-02    5.7e-04
 250000      1.00e+00    8.95e-01      2.07e-03    3.26e-02      4.23e-02    3.65e-02    5.6e-04
 251000      3.83e-01    1.22e+00      3.89e-03    1.42e-02      1.61e-02    5.13e-02    5.6e-04
 252000      1.31e+00    5.82e-01      1.65e-02    1.14e-02      5.51e-02    2.43e-02    5.6e-04
 253000      9.14e-01    7.88e-01      2.91e-03    3.98e-03      3.85e-02    3.32e-02    5.6e-04
 254000      5.65e-01    4.61e-01      8.05e-03    1.14e-04      2.37e-02    1.94e-02    5.6e-04
 255000      1.40e+00    5.09e-01      2.35e-02    1.05e-02      5.88e-02    2.14e-02    5.6e-04
 256000      3.15e-01    6.25e-01      5.95e-03    9.46e-03      1.32e-02    2.64e-02    5.6e-04
 257000      6.62e-01    2.55e+00      2.15e-02    2.75e-03      2.73e-02    1.08e-01    5.6e-04
 258000      7.89e-01    1.52e+00      7.54e-04    4.09e-03      3.34e-02    6.43e-02    5.6e-04
